state_dcid,year,population_density,state_name
wikidataId/Q1061,1991,210.74,Gujarat
wikidataId/Q1061,2001,258.49,Gujarat
wikidataId/Q1061,2002,263.81,Gujarat
wikidataId/Q1061,2003,269.13,Gujarat
wikidataId/Q1061,2004,274.45,Gujarat
wikidataId/Q1061,2005,278.75,Gujarat
wikidataId/Q1061,2006,283.0,Gujarat
wikidataId/Q1061,2007,287.2,Gujarat
wikidataId/Q1061,2008,291.34,Gujarat
wikidataId/Q1061,2009,295.42,Gujarat
wikidataId/Q1061,2010,299.46,Gujarat
wikidataId/Q1061,2011,303.46,Gujarat
wikidataId/Q1061,2012,307.41,Gujarat
wikidataId/Q1061,2013,311.3,Gujarat
wikidataId/Q1061,2015,316.7,Gujarat
wikidataId/Q1061,2017,324.1,Gujarat
wikidataId/Q1061,2018,327.62,Gujarat
wikidataId/Q1061,2019,331.04,Gujarat
wikidataId/Q1061,2020,334.31,Gujarat
wikidataId/Q1061,2021,337.4,Gujarat
wikidataId/Q1061,2022,340.64,Gujarat
wikidataId/Q1159,1991,142.22,Andhra Pradesh
wikidataId/Q1159,2001,162.97,Andhra Pradesh
wikidataId/Q1159,2002,165.32,Andhra Pradesh
wikidataId/Q1159,2003,167.67,Andhra Pradesh
wikidataId/Q1159,2004,170.01,Andhra Pradesh
wikidataId/Q1159,2005,171.43,Andhra Pradesh
wikidataId/Q1159,2006,172.79,Andhra Pradesh
wikidataId/Q1159,2007,174.33,Andhra Pradesh
wikidataId/Q1159,2008,176.05,Andhra Pradesh
wikidataId/Q1159,2009,177.73,Andhra Pradesh
wikidataId/Q1159,2010,179.38,Andhra Pradesh
wikidataId/Q1159,2011,180.63,Andhra Pradesh
wikidataId/Q1159,2012,182.21,Andhra Pradesh
wikidataId/Q1159,2013,183.76,Andhra Pradesh
wikidataId/Q1159,2015,318.72,Andhra Pradesh
wikidataId/Q1159,2017,323.71,Andhra Pradesh
wikidataId/Q1159,2018,326.1,Andhra Pradesh
wikidataId/Q1159,2019,328.42,Andhra Pradesh
wikidataId/Q1159,2020,330.67,Andhra Pradesh
wikidataId/Q1159,2021,332.85,Andhra Pradesh
wikidataId/Q1159,2022,334.89,Andhra Pradesh
wikidataId/Q1162,1991,10.33,Arunachal Pradesh
wikidataId/Q1162,2001,13.11,Arunachal Pradesh
wikidataId/Q1162,2002,13.49,Arunachal Pradesh
wikidataId/Q1162,2003,13.86,Arunachal Pradesh
wikidataId/Q1162,2004,14.25,Arunachal Pradesh
wikidataId/Q1162,2005,14.58,Arunachal Pradesh
wikidataId/Q1162,2006,14.93,Arunachal Pradesh
wikidataId/Q1162,2007,15.27,Arunachal Pradesh
wikidataId/Q1162,2008,15.63,Arunachal Pradesh
wikidataId/Q1162,2009,15.99,Arunachal Pradesh
wikidataId/Q1162,2010,16.37,Arunachal Pradesh
wikidataId/Q1162,2011,16.75,Arunachal Pradesh
wikidataId/Q1162,2012,17.15,Arunachal Pradesh
wikidataId/Q1162,2013,17.54,Arunachal Pradesh
wikidataId/Q1162,2015,15.51,Arunachal Pradesh
wikidataId/Q1162,2017,15.85,Arunachal Pradesh
wikidataId/Q1162,2018,16.01,Arunachal Pradesh
wikidataId/Q1162,2019,16.17,Arunachal Pradesh
wikidataId/Q1162,2020,16.32,Arunachal Pradesh
wikidataId/Q1162,2021,16.47,Arunachal Pradesh
wikidataId/Q1162,2022,16.62,Arunachal Pradesh
wikidataId/Q1164,1991,285.75,Assam
wikidataId/Q1164,2001,339.84,Assam
wikidataId/Q1164,2002,346.03,Assam
wikidataId/Q1164,2003,352.23,Assam
wikidataId/Q1164,2004,358.42,Assam
wikidataId/Q1164,2005,363.42,Assam
wikidataId/Q1164,2006,368.39,Assam
wikidataId/Q1164,2007,373.31,Assam
wikidataId/Q1164,2008,378.13,Assam
wikidataId/Q1164,2009,382.94,Assam
wikidataId/Q1164,2010,387.73,Assam
wikidataId/Q1164,2011,392.55,Assam
wikidataId/Q1164,2012,397.35,Assam
wikidataId/Q1164,2013,402.1,Assam
wikidataId/Q1164,2015,408.85,Assam
wikidataId/Q1164,2017,418.29,Assam
wikidataId/Q1164,2018,422.83,Assam
wikidataId/Q1164,2019,427.29,Assam
wikidataId/Q1164,2020,431.63,Assam
wikidataId/Q1164,2021,435.8,Assam
wikidataId/Q1164,2022,439.77,Assam
wikidataId/Q1165,1991,685.31,Bihar
wikidataId/Q1165,2001,881.44,Bihar
wikidataId/Q1165,2002,901.48,Bihar
wikidataId/Q1165,2003,921.53,Bihar
wikidataId/Q1165,2004,941.58,Bihar
wikidataId/Q1165,2005,957.51,Bihar
wikidataId/Q1165,2006,973.11,Bihar
wikidataId/Q1165,2007,988.37,Bihar
wikidataId/Q1165,2008,1003.3,Bihar
wikidataId/Q1165,2009,1017.91,Bihar
wikidataId/Q1165,2010,1032.17,Bihar
wikidataId/Q1165,2011,1046.11,Bihar
wikidataId/Q1165,2012,1059.72,Bihar
wikidataId/Q1165,2013,1072.99,Bihar
wikidataId/Q1165,2015,1091.0,Bihar
wikidataId/Q1165,2017,1115.77,Bihar
wikidataId/Q1165,2018,1127.75,Bihar
wikidataId/Q1165,2019,1139.44,Bihar
wikidataId/Q1165,2020,1150.9,Bihar
wikidataId/Q1165,2021,1162.14,Bihar
wikidataId/Q1165,2022,1172.54,Bihar
wikidataId/Q1168,1991,130.3,Chhattisgarh
wikidataId/Q1168,2001,154.11,Chhattisgarh
wikidataId/Q1168,2002,157.72,Chhattisgarh
wikidataId/Q1168,2003,161.33,Chhattisgarh
wikidataId/Q1168,2004,164.95,Chhattisgarh
wikidataId/Q1168,2005,167.91,Chhattisgarh
